lemma,inflection_type,inflected_form,stem,reduplicated_form,subject,object,mood,number,diminutive,locative
naadasabii,1s - ind,ninaadasabii,/naadasabii-/,naanaadasabii,first_person_singular,,independent,,FALSE,FALSE
naadasabii,3s - ind,naadasabii,/naadasabii-/,naanaadasabii,third_person_singular,,independent,,FALSE,FALSE
naadasabii,3s - conj,naadasabiid,/naadasabii-/,naanaadasabii,third_person_singular,,conjunct,,FALSE,FALSE
naadasabii,3s - ch-conj,nayaadasabiid,/naadasabii-/,naanaadasabii,third_person_singular,,changed_conjunct,,FALSE,FALSE
jeko-mazina'igan,sg,jeko-mazina'igan,/jeko-mazina'igan-/,,,,,singular,FALSE,FALSE
jeko-mazina'igan,pl,jeko-mazina'iganan,/jeko-mazina'igan-/,,,,,plural,FALSE,FALSE
jeko-mazina'igan,dim,jeko-mazina'igaans,/jeko-mazina'igan-/,,,,,,TRUE,FALSE
jeko-mazina'igan,loc,jeko-mazina'iganing,/jeko-mazina'igan-/,,,,,,FALSE,TRUE
dibaabam,1s - 3s - ind,indibaabamaa,/dibaabam-/,,first_person_singular,third_person_singular,independent,,FALSE,FALSE
dibaabam,1s - 3s - ind,nindibaabamaa,/dibaabam-/,,first_person_singular,third_person_singular,independent,,FALSE,FALSE
dibaabam,1s - 3s - ind,nidibaabamaa,/dibaabam-/,,first_person_singular,third_person_singular,independent,,FALSE,FALSE
dibaabam,3s - 3' - ind,odibaabamaan,/dibaabam-/,,third_person_singular,third_person_obviative,independent,,FALSE,FALSE
dibaabam,3s - 3' - conj,dibaabamaad,/dibaabam-/,,third_person_singular,third_person_obviative,conjunct,,FALSE,FALSE
dibaabam,3s - 3' - ch-conj,debaabamaad,/dibaabam-/,,third_person_singular,third_person_obviative,changed_conjunct,,FALSE,FALSE
dibaabam,2s - 3 - imp,dibaabam,/dibaabam-/,,second_person_singular,third_person_number_not_shown,imperative,,FALSE,FALSE
dibaabam,1s - 3s - ind,indibaabamaa,/dibaabam-/,,first_person_singular,third_person_singular,independent,,FALSE,FALSE
dibaabam,1s - 3s - ind,nindibaabamaa,/dibaabam-/,,first_person_singular,third_person_singular,independent,,FALSE,FALSE
dibaabam,1s - 3s - ind,nidibaabamaa,/dibaabam-/,,first_person_singular,third_person_singular,independent,,FALSE,FALSE
dibaabam,3s - 3' - ind,odibaabamaan,/dibaabam-/,,third_person_singular,third_person_obviative,independent,,FALSE,FALSE
dibaabam,3s - 3' - conj,dibaabamaad,/dibaabam-/,,third_person_singular,third_person_obviative,conjunct,,FALSE,FALSE
dibaabam,3s - 3' - ch-conj,debaabamaad,/dibaabam-/,,third_person_singular,third_person_obviative,changed_conjunct,,FALSE,FALSE
dibaabam,2s - 3 - imp,dibaabam,/dibaabam-/,,second_person_singular,third_person_number_not_shown,imperative,,FALSE,FALSE
zhooshkonigan,sg,zhooshkonigan,/zhooshkonigan-/,,,,,singular,FALSE,FALSE
zhooshkonigan,pl,zhooshkoniganag,/zhooshkonigan-/,,,,,plural,FALSE,FALSE
ninow,sg,ninow,/=now-/,,,,,singular,FALSE,FALSE
ninow,pl,ninowan,/=now-/,,,,,plural,FALSE,FALSE
ninow,loc,ninowaang,/=now-/,,,,,,FALSE,TRUE
ookwemin,sg,ookwemin,/ookwemin-/,,,,,singular,FALSE,FALSE
ookwemin,pl,ookweminan,/ookwemin-/,,,,,plural,FALSE,FALSE
ookwemin,dim,ookweminens,/ookwemin-/,,,,,,TRUE,FALSE
nikaakigan,sg,nikaakigan,/=kaakigan-/,,,,,singular,FALSE,FALSE
nikaakigan,loc,nikaakiganaang,/=kaakigan-/,,,,,,FALSE,TRUE
wiikobijigan,sg,wiikobijigan,/wiikobijigan-/,,,,,singular,FALSE,FALSE
wiikobijigan,pl,wiikobijiganan,/wiikobijigan-/,,,,,plural,FALSE,FALSE
wiikobijigan,dim,wiikobijigaans,/wiikobijigan-/,,,,,,TRUE,FALSE
wiikobijigan,loc,wiikobijiganing,/wiikobijigan-/,,,,,,FALSE,TRUE
